DIVA,PlatformText,Municipality,MunicipalityID,Longitude,Latitude
60200014,Alaudagasse,Wien,90001,16.3823243,48.1538904
60200027,Alser Straße,Wien,90001,16.3419989,48.2171429
60200031,Alte Donau,Wien,90001,16.4242307,48.2379564
60200033,Altes Landgut,Wien,90001,16.3833843,48.162106
60200048,Am Schöpfwerk,Wien,90001,16.3246076,48.1612312
60200056,Neubaugasse,Wien,90001,16.3502006,48.1982909
60200161,Braunschweiggasse,Wien,90001,16.2954572,48.1894881
60200234,Donauinsel,Wien,90001,16.4109806,48.2289989
60200245,Stubentor,Wien,90001,16.3802761,48.2070682
60200282,Donaumarina,Wien,90001,16.4309681,48.2061223
60200285,Erlaaer Straße,Wien,90001,16.3165317,48.1418491
60200289,Erdberg,Wien,90001,16.4139989,48.1915243
60200290,Donaustadtbrücke,Wien,90001,16.4401309,48.2117915
60200299,Aspernstraße,Wien,90001,16.474761,48.2224458
60200334,Floridsdorf,Wien,90001,16.4004744,48.2561964
60200357,Friedensbrücke,Wien,90001,16.364879,48.2270301
60200399,Zippererstraße,Wien,90001,16.4111243,48.1794978
60200425,Enkplatz,Wien,90001,16.4153104,48.1743402
60200436,Gumpendorfer Straße,Wien,90001,16.3375613,48.1907278
60200473,Hardeggasse,Wien,90001,16.4577918,48.2208897
60200487,Hausfeldstraße,Wien,90001,16.4870409,48.2335347
60200491,Heiligenstadt,Wien,90001,16.3660374,48.2488642
60200500,Dresdner Straße,Wien,90001,16.3795216,48.2369812
60200506,Herrengasse,Wien,90001,16.3658492,48.2094868
60200520,Hietzing,Wien,90001,16.3038655,48.1877933
60200560,Hütteldorf,Wien,90001,16.2607424,48.1969880
60200606,Johnstraße,Wien,90001,16.3196399,48.1976741
60200615,Josefstädter Straße,Wien,90001,16.3391603,48.2113844
60200627,Kagran,Wien,90001,16.433699,48.2436461
60200633,Kagraner Platz,Wien,90001,16.4433019,48.2503041
60200653,Kardinal-Nagl-Platz,Wien,90001,16.4005332,48.1973328
60200657,Karlsplatz,Wien,90001,16.3689484,48.2009554
60200666,Keplerplatz,Wien,90001,16.3765392,48.1781321
60200670,Kettenbrückengasse,Wien,90001,16.3589951,48.1968179
60200769,Leopoldau,Wien,90001,16.4517931,48.2775275
60200820,Längenfeldgasse,Wien,90001,16.3353604,48.1851161
60200827,Margaretengürtel,Wien,90001,16.342502,48.1882903
60200863,Meidling Hauptstraße,Wien,90001,16.3289374,48.1836667
60200910,Aspern Nord,Wien,90001,16.5040909,48.2346117
60200916,Nestroyplatz,Wien,90001,16.3846509,48.2148144
60200937,Niederhofstraße,Wien,90001,16.3311922,48.1810612
60200942,Seestadt,Wien,90001,16.5084347,48.2261018
60200949,Oberlaa,Wien,90001,16.4002289,48.1421948
60200950,Nußdorfer Straße,Wien,90001,16.3528865,48.2314823
60200956,Ober St. Veit,Wien,90001,16.2757212,48.1922908
60200981,Ottakring,Wien,90001,16.3115303,48.2115625
60201007,Perfektastraße,Wien,90001,16.3133966,48.1368076
60201018,Pilgramgasse,Wien,90001,16.3544765,48.1926261
60201040,Praterstern,Wien,90001,16.3923315,48.2185136
60201062,Spittelau,Wien,90001,16.3583662,48.235611
60201095,Reumannplatz,Wien,90001,16.3781921,48.1741545
60201104,Rochusgasse,Wien,90001,16.3913254,48.2025241
60201124,Roßauer Lände,Wien,90001,16.3675021,48.2221406
60201182,Schottenring,Wien,90001,16.3711313,48.2169214
60201184,Schottentor,Wien,90001,16.3628823,48.2150425
60201198,Schwedenplatz,Wien,90001,16.3778956,48.2117496
60201199,Schlachthausgasse,Wien,90001,16.4074502,48.1940334
60201200,Schweglerstraße,Wien,90001,16.3283984,48.1978897
60201211,Schönbrunn,Wien,90001,16.3194782,48.1859007
60201235,Siebenhirten,Wien,90001,16.3097596,48.1301284
60201260,Simmering,Wien,90001,16.4195184,48.1705043
60201278,Donauspital,Wien,90001,16.4659934,48.219561
60201299,Stadlau,Wien,90001,16.4483235,48.2191719
60201305,Stadtpark,Wien,90001,16.3791083,48.2025121
60201317,Kendlerstraße,Wien,90001,16.3090847,48.2047094
60201320,Stephansplatz,Wien,90001,16.3716344,48.2081338
60201366,Taubstummengasse,Wien,90001,16.3702779,48.1938777
60201372,Thaliastraße,Wien,90001,16.3384326,48.2085649
60201394,Tscherttegasse,Wien,90001,16.3279044,48.165078
60201404,Unter St. Veit,Wien,90001,16.2867525,48.1910033
60201430,Volkstheater,Wien,90001,16.357971,48.2051404
60201433,Vorgartenstraße,Wien,90001,16.4018896,48.2240916
60201468,Westbahnhof,Wien,90001,16.3376511,48.1966562
60201499,Alterlaa,Wien,90001,16.3169809,48.1508878
60201530,Zieglergasse,Wien,90001,16.3453676,48.1969676
60201573,Troststraße,Wien,90001,16.3803839,48.1690383
60201667,Jägerstraße,Wien,90001,16.3694694,48.235234
60201668,Neue Donau,Wien,90001,16.3952421,48.246697
60201705,Handelskai,Wien,90001,16.3852259,48.2417974
60201749,Gasometer,Wien,90001,16.4177628,48.1855294
60201858,Aderklaaer Straße,Wien,90001,16.4515754,48.2627624
60201859,Großfeldsiedlung,Wien,90001,16.448072,48.2706318
60201891,Taborstraße,Wien,90001,16.3808331,48.2189744
60201893,Krieau,Wien,90001,16.4141247,48.2144912
60201894,Stadion,Wien,90001,16.4197661,48.2110792
